2022-12-29 14:48:02 | INFO     | DF | Running on torch 1.13.0+cu117
2022-12-29 14:48:02 | INFO     | DF | Running on host desktop-manjaro
2022-12-29 14:48:02 | INFO     | DF | Loading model settings of output
2022-12-29 14:48:02 | INFO     | DF | Running on device cuda:0
2022-12-29 14:48:02 | INFO     | DF | Initializing model `deepfilternet`
2022-12-29 14:48:04 | INFO     | DF | Initializing dataloader with data directory /home/peterrc/Documents/train
2022-12-29 14:48:04 | INFO     | DF | Loading HDF5 key cache from /home/peterrc/Documents/train/.cache_dataset.cfg
2022-12-29 14:48:04 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 14:48:04 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 14:48:04 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 14:48:04 | INFO     | DF | Start train epoch 0 with batch size 1
2022-12-29 14:48:05 | INFO     | DF | [0] [    0/19999] | loss:  0.11716 | lr:  1.000E-04
2022-12-29 14:48:12 | INFO     | DF | [0] [  100/19999] | loss:  0.10994 | lr:  1.007E-04
2022-12-29 14:48:20 | INFO     | DF | [0] [  200/19999] | loss:  0.06945 | lr:  1.013E-04
2022-12-29 14:48:27 | INFO     | DF | [0] [  300/19999] | loss:  0.06139 | lr:  1.020E-04
2022-12-29 14:48:35 | INFO     | DF | [0] [  400/19999] | loss:  0.05872 | lr:  1.027E-04
2022-12-29 14:48:43 | INFO     | DF | [0] [  500/19999] | loss:  0.04453 | lr:  1.033E-04
2022-12-29 14:48:50 | INFO     | DF | [0] [  600/19999] | loss:  0.03457 | lr:  1.040E-04
2022-12-29 14:48:58 | INFO     | DF | [0] [  700/19999] | loss:  0.03704 | lr:  1.047E-04
2022-12-29 14:49:05 | INFO     | DF | [0] [  800/19999] | loss:  0.04070 | lr:  1.053E-04
2022-12-29 14:49:12 | INFO     | DF | [0] [  900/19999] | loss:  0.03792 | lr:  1.060E-04
2022-12-29 14:49:20 | INFO     | DF | [0] [ 1000/19999] | loss:  0.04042 | lr:  1.067E-04
2022-12-29 14:49:27 | INFO     | DF | [0] [ 1100/19999] | loss:  0.04030 | lr:  1.073E-04
2022-12-29 14:49:35 | INFO     | DF | [0] [ 1200/19999] | loss:  0.03504 | lr:  1.080E-04
2022-12-29 14:49:42 | INFO     | DF | [0] [ 1300/19999] | loss:  0.02537 | lr:  1.087E-04
2022-12-29 14:49:50 | INFO     | DF | [0] [ 1400/19999] | loss:  0.02871 | lr:  1.093E-04
2022-12-29 14:49:58 | INFO     | DF | [0] [ 1500/19999] | loss:  0.03221 | lr:  1.100E-04
2022-12-29 14:50:05 | INFO     | DF | [0] [ 1600/19999] | loss:  0.02646 | lr:  1.107E-04
2022-12-29 14:50:13 | INFO     | DF | [0] [ 1700/19999] | loss:  0.02205 | lr:  1.113E-04
2022-12-29 14:50:20 | INFO     | DF | [0] [ 1800/19999] | loss:  0.02290 | lr:  1.120E-04
2022-12-29 14:50:28 | INFO     | DF | [0] [ 1900/19999] | loss:  0.02766 | lr:  1.127E-04
2022-12-29 14:50:36 | INFO     | DF | [0] [ 2000/19999] | loss:  0.02032 | lr:  1.133E-04
2022-12-29 14:50:43 | INFO     | DF | [0] [ 2100/19999] | loss:  0.03170 | lr:  1.140E-04
2022-12-29 14:50:51 | INFO     | DF | [0] [ 2200/19999] | loss:  0.02688 | lr:  1.147E-04
2022-12-29 14:50:58 | INFO     | DF | [0] [ 2300/19999] | loss:  0.02430 | lr:  1.153E-04
2022-12-29 14:51:06 | INFO     | DF | [0] [ 2400/19999] | loss:  0.02880 | lr:  1.160E-04
2022-12-29 14:51:14 | INFO     | DF | [0] [ 2500/19999] | loss:  0.02752 | lr:  1.167E-04
2022-12-29 14:51:21 | INFO     | DF | [0] [ 2600/19999] | loss:  0.02314 | lr:  1.173E-04
2022-12-29 14:51:29 | INFO     | DF | [0] [ 2700/19999] | loss:  0.02064 | lr:  1.180E-04
2022-12-29 14:51:37 | INFO     | DF | [0] [ 2800/19999] | loss:  0.01967 | lr:  1.187E-04
2022-12-29 14:51:44 | INFO     | DF | [0] [ 2900/19999] | loss:  0.01606 | lr:  1.193E-04
2022-12-29 14:51:52 | INFO     | DF | [0] [ 3000/19999] | loss:  0.01632 | lr:  1.200E-04
2022-12-29 14:51:59 | INFO     | DF | [0] [ 3100/19999] | loss:  0.01790 | lr:  1.207E-04
2022-12-29 14:52:07 | INFO     | DF | [0] [ 3200/19999] | loss:  0.01707 | lr:  1.213E-04
2022-12-29 14:52:15 | INFO     | DF | [0] [ 3300/19999] | loss:  0.02160 | lr:  1.220E-04
2022-12-29 14:52:22 | INFO     | DF | [0] [ 3400/19999] | loss:  0.01918 | lr:  1.227E-04
2022-12-29 14:52:30 | INFO     | DF | [0] [ 3500/19999] | loss:  0.01840 | lr:  1.233E-04
2022-12-29 14:52:37 | INFO     | DF | [0] [ 3600/19999] | loss:  0.01769 | lr:  1.240E-04
2022-12-29 14:52:45 | INFO     | DF | [0] [ 3700/19999] | loss:  0.01832 | lr:  1.247E-04
2022-12-29 14:52:52 | INFO     | DF | [0] [ 3800/19999] | loss:  0.01736 | lr:  1.253E-04
2022-12-29 14:53:00 | INFO     | DF | [0] [ 3900/19999] | loss:  0.01970 | lr:  1.260E-04
2022-12-29 14:53:08 | INFO     | DF | [0] [ 4000/19999] | loss:  0.02000 | lr:  1.267E-04
2022-12-29 14:53:16 | INFO     | DF | [0] [ 4100/19999] | loss:  0.01565 | lr:  1.273E-04
2022-12-29 14:53:23 | INFO     | DF | [0] [ 4200/19999] | loss:  0.02046 | lr:  1.280E-04
2022-12-29 14:53:31 | INFO     | DF | [0] [ 4300/19999] | loss:  0.01848 | lr:  1.287E-04
2022-12-29 14:53:39 | INFO     | DF | [0] [ 4400/19999] | loss:  0.01420 | lr:  1.293E-04
2022-12-29 14:53:46 | INFO     | DF | [0] [ 4500/19999] | loss:  0.01832 | lr:  1.300E-04
2022-12-29 14:53:54 | INFO     | DF | [0] [ 4600/19999] | loss:  0.01566 | lr:  1.307E-04
