2022-12-29 11:29:11 | INFO     | DF | Running on torch 1.13.0+cu117
2022-12-29 11:29:11 | INFO     | DF | Running on host desktop-manjaro
2022-12-29 11:29:11 | INFO     | DF | Loading model settings of output
2022-12-29 11:29:11 | INFO     | DF | Running on device cuda:0
2022-12-29 11:29:11 | INFO     | DF | Initializing model `deepfilternet`
2022-12-29 11:29:13 | INFO     | DF | Initializing dataloader with data directory /home/peterrc/Documents/train/
2022-12-29 11:29:13 | INFO     | DF | Loading HDF5 key cache from /home/peterrc/Documents/train/.cache_dataset.cfg
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | INFO     | DF | Start train epoch 0 with batch size 1
2022-12-29 11:29:14 | INFO     | DF | [0] [    0/19999] | loss:  0.13013 | lr:  1.000E-04
2022-12-29 11:29:21 | INFO     | DF | [0] [  100/19999] | loss:  0.11456 | lr:  1.007E-04
2022-12-29 11:29:27 | INFO     | DF | [0] [  200/19999] | loss:  0.07539 | lr:  1.013E-04
2022-12-29 11:29:34 | INFO     | DF | [0] [  300/19999] | loss:  0.07718 | lr:  1.020E-04
2022-12-29 11:29:41 | INFO     | DF | [0] [  400/19999] | loss:  0.06146 | lr:  1.027E-04
2022-12-29 11:29:48 | INFO     | DF | [0] [  500/19999] | loss:  0.04633 | lr:  1.033E-04
2022-12-29 11:29:55 | INFO     | DF | [0] [  600/19999] | loss:  0.03834 | lr:  1.040E-04
2022-12-29 11:30:01 | INFO     | DF | [0] [  700/19999] | loss:  0.03883 | lr:  1.047E-04
2022-12-29 11:30:08 | INFO     | DF | [0] [  800/19999] | loss:  0.04064 | lr:  1.053E-04
2022-12-29 11:30:15 | INFO     | DF | [0] [  900/19999] | loss:  0.03828 | lr:  1.060E-04
2022-12-29 11:30:21 | INFO     | DF | [0] [ 1000/19999] | loss:  0.04069 | lr:  1.067E-04
2022-12-29 11:30:28 | INFO     | DF | [0] [ 1100/19999] | loss:  0.04024 | lr:  1.073E-04
2022-12-29 11:30:34 | INFO     | DF | [0] [ 1200/19999] | loss:  0.03742 | lr:  1.080E-04
2022-12-29 11:30:40 | INFO     | DF | [0] [ 1300/19999] | loss:  0.02542 | lr:  1.087E-04
2022-12-29 11:30:47 | INFO     | DF | [0] [ 1400/19999] | loss:  0.02940 | lr:  1.093E-04
2022-12-29 11:30:53 | INFO     | DF | [0] [ 1500/19999] | loss:  0.03401 | lr:  1.100E-04
2022-12-29 11:31:00 | INFO     | DF | [0] [ 1600/19999] | loss:  0.02748 | lr:  1.107E-04
2022-12-29 11:31:07 | INFO     | DF | [0] [ 1700/19999] | loss:  0.02221 | lr:  1.113E-04
2022-12-29 11:31:13 | INFO     | DF | [0] [ 1800/19999] | loss:  0.02457 | lr:  1.120E-04
2022-12-29 11:31:20 | INFO     | DF | [0] [ 1900/19999] | loss:  0.02851 | lr:  1.127E-04
2022-12-29 11:31:27 | INFO     | DF | [0] [ 2000/19999] | loss:  0.02137 | lr:  1.133E-04
2022-12-29 11:31:33 | INFO     | DF | [0] [ 2100/19999] | loss:  0.03249 | lr:  1.140E-04
2022-12-29 11:31:40 | INFO     | DF | [0] [ 2200/19999] | loss:  0.02771 | lr:  1.147E-04
2022-12-29 11:31:47 | INFO     | DF | [0] [ 2300/19999] | loss:  0.02481 | lr:  1.153E-04
2022-12-29 11:31:53 | INFO     | DF | [0] [ 2400/19999] | loss:  0.03046 | lr:  1.160E-04
2022-12-29 11:32:00 | INFO     | DF | [0] [ 2500/19999] | loss:  0.02886 | lr:  1.167E-04
2022-12-29 11:32:07 | INFO     | DF | [0] [ 2600/19999] | loss:  0.02393 | lr:  1.173E-04
2022-12-29 11:32:13 | INFO     | DF | [0] [ 2700/19999] | loss:  0.02031 | lr:  1.180E-04
2022-12-29 11:32:20 | INFO     | DF | [0] [ 2800/19999] | loss:  0.02073 | lr:  1.187E-04
2022-12-29 11:32:26 | INFO     | DF | [0] [ 2900/19999] | loss:  0.01715 | lr:  1.193E-04
2022-12-29 11:32:33 | INFO     | DF | [0] [ 3000/19999] | loss:  0.01738 | lr:  1.200E-04
2022-12-29 11:32:39 | INFO     | DF | [0] [ 3100/19999] | loss:  0.01980 | lr:  1.207E-04
2022-12-29 11:32:45 | INFO     | DF | [0] [ 3200/19999] | loss:  0.01782 | lr:  1.213E-04
2022-12-29 11:32:52 | INFO     | DF | [0] [ 3300/19999] | loss:  0.02185 | lr:  1.220E-04
